parameter	zscore
q23	23.804476089521792
q24	22.54845096901938
q2B	22.554451089021782
q2F	25.976519530390608
q2J	8.76417528350567
q2N	23.60647212944259
q2R	22.034440688813778
q2V	17.744354887097742
q32	19.032380647612953
q36	18.108362167243346
q42	22.998459969199384
q4B	17.77035540710814
q4F	21.308426168523372
q4J	14.768295365907319
q4N	12.900258005160103
q4R	17.36234724694494
q4V	9.526190523810476
q63	3.1020620412408246
q6D	4.488089761795236
q6H	21.42042840856817
q6L	24.9304986099722
q6P	30.532610652213044
q6T	64.87529750595012
q6X	46.28492569851397
qAB	10.572211444228884
qAE	9.208184163683274
qAI	0.2020040400808016
qB2	11.050221004420088
qB4	8.88017760355207
qBA	42.708854177083545
qBN	23.414468289365786
qBR	39.92679853597072
qBV	37.4787495749915
qD6	1.23602472049441
qEA	0.872017440348807
qEI	35.74671493429869
qF2	40.29280585611712
qF4	39.75279505590112
qFN	0.09400188003760075
qFR	33.080661613232266
qFV	0
qH6	34.41668833376667
qIA	34.96469929398588
qIE	0.028000560011200226
qJ2	38.398767975359505
qJ4	34.622692453849076
qJN	38.95477909558191
qJR	42.60485209704194
qJV	21.508430168603372
qL6	18.092361847236944
qN2	21.622432448648972
qN4	14.96029920598412
qNB	21.024420488409767
qNF	10.760215204304085
qNJ	17.60435208704174
qNR	20.674413488269764
qNV	34.630692613852275
qP6	32.852657053141066
qR2	18.53037060741215
qR4	0
qRB	36.520730414608295
qRF	31.12262245244905
qRJ	33.99867997359947
qRN	33.64267285345707
qRV	36.28672573451469
qT6	0
qV2	19.614392287845757
qV4	23.65247304946099
qVB	34.428688573771474
qVF	42.67285345706914
qVJ	38.45076901538031
qVN	37.2547450949019
qVR	6.086121722434449
qX6	0
q26	100
q2A	100
q2C	100
q2D	100
q2E	100
q2H	100
q2I	100
q2L	100
q2P	100
q2T	100
q2X	100
q34	100
q3A	100
q3B	100
q3C	100
q3E	100
q3F	100
q3I	100
q3J	100
q3N	100
q3R	100
q3V	100
q46	100
q4A	100
q4C	100
q4D	100
q4E	100
q4H	100
q4I	100
q4L	100
q4P	100
q4T	100
q4X	100
q6A	100
q6B	100
q6C	100
q6E	100
q6F	100
q6I	100
q6J	100
q6N	100
q6R	100
q6V	100
qAD	100
qAF	100
qAH	100
qAJ	100
qAL	100
qAN	100
qAP	100
qAR	100
qAT	100
qAV	100
qAX	100
qBC	100
qBE	100
qBH	100
qBI	100
qBL	100
qBP	100
qBT	100
qBX	100
qCE	100
qCF	100
qCH	100
qCI	100
qCJ	100
qCL	100
qCN	100
qCP	100
qCR	100
qCT	100
qCV	100
qCX	100
qDE	100
qDF	100
qDI	100
qDJ	100
qDN	100
qDR	100
qDV	100
qEH	100
qEJ	100
qEL	100
qEN	100
qEP	100
qER	100
qET	100
qEV	100
qEX	100
qFI	100
qFL	100
qFP	100
qFT	100
qFX	100
qHI	100
qHJ	100
qHN	100
qHR	100
qHV	100
qIL	100
qIN	100
qIP	100
qIR	100
qIT	100
qIV	100
qIX	100
qJP	100
qJT	100
qJX	100
qLN	100
qLR	100
qLV	100
qNT	100
qNX	100
qPR	100
qPV	100
qRX	100
qTV	100
q62	100
qA2	100
qC2	100
qD2	100
qE2	100
qH2	100
qI2	100
qL2	100
qP2	100
qT2	100
qX2	100
q43	100
qA3	100
qB3	100
qC3	100
qE3	100
qF3	100
qI3	100
qJ3	100
qN3	100
qR3	100
qV3	100
q64	100
qA4	100
qC4	100
qD4	100
qE4	100
qH4	100
qI4	100
qL4	100
qP4	100
qT4	100
qX4	100
qA6	100
qB6	100
qC6	100
qE6	100
qF6	100
qI6	100
qJ6	100
qN6	100
qR6	100
qV6	100
qDA	100
qFA	100
qHA	100
qJA	100
qLA	100
qNA	100
qPA	100
qRA	100
qTA	100
qVA	100
qXA	100
qCB	100
qEB	100
qHB	100
qIB	100
qLB	100
qPB	100
qTB	100
qXB	100
qEC	100
qFC	100
qHC	100
qIC	100
qJC	100
qLC	100
qNC	100
qPC	100
qRC	100
qTC	100
qVC	100
qXC	100
qED	100
qFD	100
qID	100
qJD	100
qND	100
qRD	100
qVD	100
qHE	100
qJE	100
qLE	100
qNE	100
qPE	100
qRE	100
qTE	100
qVE	100
qXE	100
qIF	100
qLF	100
qPF	100
qTF	100
qXF	100
qIH	100
qJH	100
qNH	100
qRH	100
qVH	100
qLI	100
qNI	100
qPI	100
qRI	100
qTI	100
qVI	100
qXI	100
qPJ	100
qTJ	100
qXJ	100
qNL	100
qRL	100
qVL	100
qTN	100
qXN	100
qRP	100
qVP	100
qXR	100
qVT	100
qAC	23.804476089521792
qBD	23.804476089521792
qFH	23.804476089521792
qJL	23.804476089521792
qNP	23.804476089521792
qRT	23.804476089521792
qVX	23.804476089521792
q3D	22.554451089021782
q3H	25.976519530390608
q3L	8.76417528350567
q3P	23.60647212944259
q3T	22.034440688813778
q3X	17.744354887097742
qCD	10.572211444228884
qEF	10.572211444228884
qIJ	10.572211444228884
qBF	9.208184163683274
qDH	9.208184163683274
qBJ	0.2020040400808016
qDL	0.2020040400808016
qDP	23.414468289365786
qDT	39.92679853597072
qDX	37.4787495749915
qFJ	35.74671493429869
qHL	35.74671493429869
qHP	0.09400188003760075
qHT	33.080661613232266
qHX	0
qLP	38.95477909558191
qLT	42.60485209704194
qLX	21.508430168603372
qPT	20.674413488269764
qPX	34.630692613852275
qTX	36.28672573451469
qCA	19.032380647612953
qDB	19.032380647612953
qHF	19.032380647612953
qLJ	19.032380647612953
qPN	19.032380647612953
qTR	19.032380647612953
qXV	19.032380647612953
qD3	11.050221004420088
qH3	40.29280585611712
qL3	38.398767975359505
qP3	21.622432448648972
qT3	18.53037060741215
qX3	19.614392287845757
qDC	42.708854177083545
qFE	42.708854177083545
qJI	42.708854177083545
qFB	0.872017440348807
qHD	0.872017440348807
qJB	34.96469929398588
qLD	34.96469929398588
qPD	21.024420488409767
qTD	36.520730414608295
qXD	34.428688573771474
qJF	0.028000560011200226
qLH	0.028000560011200226
qPH	10.760215204304085
qTH	31.12262245244905
qXH	42.67285345706914
qPL	17.60435208704174
qTL	33.99867997359947
qXL	38.45076901538031
qTP	33.64267285345707
qXP	37.2547450949019
qXT	6.086121722434449
